snake_pos_x,snake_pos_y,snake_body_length,food_pos_x,food_pos_y,horizontal_distance,vertical_distance,score,body_parts,left_safe,right_safe,up_safe,down_safe,fully_safe_LEFT,fully_safe_RIGHT,fully_safe_UP,fully_safe_DOWN
100,50,3,280,350,180,300,0,3,False,True,True,True,False,True,True,True
100,60,3,280,350,180,290,-1,3,True,True,False,True,True,True,False,True
100,70,3,280,350,180,280,-2,3,True,True,False,True,True,True,False,True
100,80,3,280,350,180,270,-3,3,True,True,False,True,True,True,False,True
100,90,3,280,350,180,260,-4,3,True,True,False,True,True,True,False,True
100,100,3,280,350,180,250,-5,3,True,True,False,True,True,True,False,True
100,110,3,280,350,180,240,-6,3,True,True,False,True,True,True,False,True
100,120,3,280,350,180,230,-7,3,True,True,False,True,True,True,False,True
100,130,3,280,350,180,220,-8,3,True,True,False,True,True,True,False,True
100,140,3,280,350,180,210,-9,3,True,True,False,True,True,True,False,True
100,150,3,280,350,180,200,-10,3,True,True,False,True,True,True,False,True
100,160,3,280,350,180,190,-11,3,True,True,False,True,True,True,False,True
100,170,3,280,350,180,180,-12,3,True,True,False,True,True,True,False,True
100,180,3,280,350,180,170,-13,3,True,True,False,True,True,True,False,True
100,190,3,280,350,180,160,-14,3,True,True,False,True,True,True,False,True
100,200,3,280,350,180,150,-15,3,True,True,False,True,True,True,False,True
100,210,3,280,350,180,140,-16,3,True,True,False,True,True,True,False,True
100,220,3,280,350,180,130,-17,3,True,True,False,True,True,True,False,True
100,230,3,280,350,180,120,-18,3,True,True,False,True,True,True,False,True
100,240,3,280,350,180,110,-19,3,True,True,False,True,True,True,False,True
100,250,3,280,350,180,100,-20,3,True,True,False,True,True,True,False,True
100,260,3,280,350,180,90,-21,3,True,True,False,True,True,True,False,True
100,270,3,280,350,180,80,-22,3,True,True,False,True,True,True,False,True
100,280,3,280,350,180,70,-23,3,True,True,False,True,True,True,False,True
100,290,3,280,350,180,60,-24,3,True,True,False,True,True,True,False,True
100,300,3,280,350,180,50,-25,3,True,True,False,True,True,True,False,True
100,310,3,280,350,180,40,-26,3,True,True,False,True,True,True,False,True
100,320,3,280,350,180,30,-27,3,True,True,False,True,True,True,False,True
100,330,3,280,350,180,20,-28,3,True,True,False,True,True,True,False,True
100,340,3,280,350,180,10,-29,3,True,True,False,True,True,True,False,True
100,350,3,280,350,180,0,-30,3,True,True,False,True,True,True,False,True
110,350,3,280,350,170,0,-31,3,False,True,True,True,False,True,True,True
120,350,3,280,350,160,0,-32,3,False,True,True,True,False,True,True,True
130,350,3,280,350,150,0,-33,3,False,True,True,True,False,True,True,True
140,350,3,280,350,140,0,-34,3,False,True,True,True,False,True,True,True
150,350,3,280,350,130,0,-35,3,False,True,True,True,False,True,True,True
160,350,3,280,350,120,0,-36,3,False,True,True,True,False,True,True,True
