@relation snake_game-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.NumericToNominal-R17

@attribute snake_pos_x numeric
@attribute snake_pos_y numeric
@attribute snake_body_length numeric
@attribute food_pos_x numeric
@attribute food_pos_y numeric
@attribute horizontal_distance numeric
@attribute vertical_distance numeric
@attribute score numeric
@attribute left_safe numeric
@attribute right_safe numeric
@attribute up_safe numeric
@attribute down_safe numeric
@attribute left_distance numeric
@attribute right_distance numeric
@attribute up_distance numeric
@attribute down_distance numeric
@attribute New_direction {0,1,2,3}
@attribute future_score numeric

@data
100,50,3,470,80,370,30,0,1,0,0,0,10,480,480,480,1,-1
110,50,3,470,80,360,30,-1,1,0,0,0,10,480,480,480,1,-2
120,50,3,470,80,350,30,-2,1,0,0,0,10,480,480,480,1,-3
130,50,3,470,80,340,30,-3,1,0,0,0,10,480,480,480,1,-4
140,50,3,470,80,330,30,-4,1,0,0,0,10,480,480,480,1,-5
150,50,3,470,80,320,30,-5,1,0,0,0,10,480,480,480,1,-6
160,50,3,470,80,310,30,-6,1,0,0,0,10,480,480,480,1,-7
170,50,3,470,80,300,30,-7,1,0,0,0,10,480,480,480,1,-8
180,50,3,470,80,290,30,-8,1,0,0,0,10,480,480,480,1,-9
190,50,3,470,80,280,30,-9,1,0,0,0,10,480,480,480,1,-10
200,50,3,470,80,270,30,-10,1,0,1,0,10,480,480,480,3,-11
200,60,3,470,80,270,20,-11,0,0,1,0,480,480,10,480,3,-12
200,70,3,470,80,270,10,-12,0,0,1,0,480,480,10,480,3,-13
200,80,3,470,80,270,0,-13,1,0,1,0,480,480,10,480,1,-14
210,80,3,470,80,260,0,-14,1,0,0,0,10,480,480,480,1,-15
220,80,3,470,80,250,0,-15,1,0,0,0,10,480,480,480,1,-16
230,80,3,470,80,240,0,-16,1,0,0,0,10,480,480,480,1,-17
240,80,3,470,80,230,0,-17,1,0,0,0,10,480,480,480,1,-18
250,80,3,470,80,220,0,-18,1,0,0,1,10,480,480,480,2,-19
250,70,3,470,80,220,10,-19,0,0,0,1,480,480,480,10,2,-20
250,60,3,470,80,220,20,-20,1,0,0,1,480,480,480,10,1,-21
260,60,3,470,80,210,20,-21,1,0,0,0,10,480,480,480,1,-22
270,60,3,470,80,200,20,-22,1,0,0,0,10,480,480,480,1,-23
280,60,3,470,80,190,20,-23,1,0,0,0,10,480,480,480,1,-24
290,60,3,470,80,180,20,-24,1,0,0,0,10,480,480,480,1,-25
300,60,3,470,80,170,20,-25,1,0,0,0,10,480,480,480,1,-26
310,60,3,470,80,160,20,-26,1,0,0,0,10,480,480,480,1,-27
320,60,3,470,80,150,20,-27,1,0,0,0,10,480,480,480,1,-28
330,60,3,470,80,140,20,-28,1,0,0,0,10,480,480,480,1,-29
340,60,3,470,80,130,20,-29,1,0,0,0,10,480,480,480,1,-30
350,60,3,470,80,120,20,-30,1,0,0,0,10,480,480,480,1,-31
360,60,3,470,80,110,20,-31,1,0,0,0,10,480,480,480,1,-32
370,60,3,470,80,100,20,-32,1,0,0,0,10,480,480,480,1,-33
380,60,3,470,80,90,20,-33,1,0,0,0,10,480,480,480,1,-34
390,60,3,470,80,80,20,-34,1,0,0,0,10,480,480,480,1,-35
400,60,3,470,80,70,20,-35,1,0,0,0,10,480,480,480,1,-36
410,60,3,470,80,60,20,-36,1,0,0,0,10,480,480,480,1,-37
420,60,3,470,80,50,20,-37,1,0,0,0,10,480,480,480,1,-38
430,60,3,470,80,40,20,-38,1,0,0,0,10,480,480,480,1,-39
440,60,3,470,80,30,20,-39,1,0,0,0,10,480,480,480,1,-40
450,60,3,470,80,20,20,-40,1,0,0,0,10,480,480,480,1,-41
460,60,3,470,80,10,20,-41,1,0,0,0,10,480,480,480,1,-42
470,60,3,470,80,0,20,-42,1,1,1,0,10,480,480,480,3,-43
