@relation 'snake_game-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R8,19-weka.filters.unsupervised.attribute.NumericToNominal-R17'

@attribute snake_pos_x numeric
@attribute snake_pos_y numeric
@attribute snake_body_length numeric
@attribute food_pos_x numeric
@attribute food_pos_y numeric
@attribute horizontal_distance numeric
@attribute vertical_distance numeric
@attribute body_parts numeric
@attribute left_safe {True,False}
@attribute right_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute left_distance numeric
@attribute right_distance numeric
@attribute up_distance numeric
@attribute down_distance numeric
@attribute New_direction {0,1,2,3}

@data
290,440,42,260,240,-30,-200,42,True,False,True,True,480,10,480,480,0
280,440,42,260,240,-20,-200,42,True,False,True,True,480,10,480,480,0
270,440,42,260,240,-10,-200,42,True,False,True,True,480,10,480,480,0
260,440,42,260,240,0,-200,42,True,False,True,False,480,10,480,480,2
260,430,42,260,240,0,-190,42,True,True,True,False,480,120,480,10,2
260,420,42,260,240,0,-180,42,True,True,True,False,480,120,480,10,2
260,410,42,260,240,0,-170,42,True,True,True,False,480,120,480,10,2
260,400,42,260,240,0,-160,42,True,True,True,False,480,120,480,10,2
260,390,42,260,240,0,-150,42,True,True,True,False,480,120,480,10,2
260,380,42,260,240,0,-140,42,True,True,True,False,480,120,480,10,2
260,370,42,260,240,0,-130,42,True,True,True,False,480,120,480,10,2
260,360,42,260,240,0,-120,42,True,True,True,False,480,120,480,10,2
260,350,42,260,240,0,-110,42,True,True,True,False,480,120,480,10,2
260,340,42,260,240,0,-100,42,True,True,True,False,480,120,480,10,2
260,330,42,260,240,0,-90,42,True,True,True,False,480,120,480,10,2
260,320,42,260,240,0,-80,42,True,True,True,False,480,120,480,10,2
260,310,42,260,240,0,-70,42,True,True,True,False,480,120,480,10,2
260,300,42,260,240,0,-60,42,True,True,True,False,480,120,480,10,2
260,290,42,260,240,0,-50,42,True,True,True,False,480,480,480,10,2
260,280,42,260,240,0,-40,42,True,True,True,False,480,480,480,10,2
260,270,42,260,240,0,-30,42,True,True,True,False,480,480,480,10,2
260,260,42,260,240,0,-20,42,True,True,True,False,480,480,480,10,2
260,250,42,260,240,0,-10,42,True,True,True,False,480,480,480,10,2
260,240,43,70,160,-190,-80,43,True,True,True,False,480,480,480,10,2
260,230,43,70,160,-190,-70,43,True,True,True,False,480,480,480,10,2
260,220,43,70,160,-190,-60,43,True,True,True,False,480,480,480,10,2
260,210,43,70,160,-190,-50,43,True,False,True,False,480,480,480,10,0
250,210,43,70,160,-180,-50,43,True,False,True,True,480,10,480,480,0
240,210,43,70,160,-170,-50,43,True,False,True,True,480,10,480,480,0
230,210,43,70,160,-160,-50,43,True,False,True,True,480,10,480,480,0
220,210,43,70,160,-150,-50,43,True,False,True,False,480,10,480,480,2
220,200,43,70,160,-150,-40,43,True,True,True,False,480,480,480,10,2
220,190,43,70,160,-150,-30,43,True,False,True,False,480,480,480,10,0
210,190,43,70,160,-140,-30,43,True,False,True,True,480,10,480,480,0
200,190,43,70,160,-130,-30,43,True,False,True,True,480,10,480,480,0
190,190,43,70,160,-120,-30,43,True,False,True,True,480,10,480,480,0
180,190,43,70,160,-110,-30,43,True,False,True,True,480,10,480,480,0
170,190,43,70,160,-100,-30,43,True,False,True,False,480,10,480,480,2
170,180,43,70,160,-100,-20,43,True,True,True,False,480,480,480,10,2
170,170,43,70,160,-100,-10,43,True,True,True,False,480,480,480,10,2
170,160,43,70,160,-100,0,43,True,True,True,False,480,480,480,10,2
170,150,43,70,160,-100,10,43,True,False,True,False,480,480,480,10,0
160,150,43,70,160,-90,10,43,True,False,True,True,480,10,480,480,0
150,150,43,70,160,-80,10,43,True,False,True,True,480,10,480,480,0
140,150,43,70,160,-70,10,43,True,False,True,True,480,10,480,480,0
130,150,43,70,160,-60,10,43,True,False,True,True,480,10,480,480,0
120,150,43,70,160,-50,10,43,True,False,True,True,480,10,480,480,0
110,150,43,70,160,-40,10,43,True,False,True,True,480,10,480,480,0
100,150,43,70,160,-30,10,43,True,False,False,True,480,10,480,480,3
100,160,43,70,160,-30,0,43,True,True,False,True,480,70,10,480,3
100,170,43,70,160,-30,-10,43,True,False,False,True,480,70,10,480,0
90,170,43,70,160,-20,-10,43,True,False,True,True,480,10,480,480,0
80,170,43,70,160,-10,-10,43,True,False,True,True,480,10,480,480,0
70,170,43,70,160,0,-10,43,True,False,True,True,480,10,480,480,0
60,170,43,70,160,10,-10,43,True,False,True,False,480,10,480,480,2
60,160,43,70,160,10,0,43,True,True,True,False,480,40,480,10,2
60,150,43,70,160,10,10,43,True,True,True,False,480,40,480,10,2
60,140,43,70,160,10,20,43,True,True,True,False,480,480,480,10,2
60,130,43,70,160,10,30,43,True,True,True,False,480,480,480,10,2
60,120,43,70,160,10,40,43,True,True,True,False,480,480,480,10,2
60,110,43,70,160,10,50,43,True,True,True,False,480,480,480,10,2
60,100,43,70,160,10,60,43,True,True,True,False,480,480,480,10,2
60,90,43,70,160,10,70,43,True,True,True,False,480,480,480,10,2
60,80,43,70,160,10,80,43,True,True,True,False,480,480,480,10,2
60,70,43,70,160,10,90,43,True,True,True,False,480,480,480,10,2
60,60,43,70,160,10,100,43,True,True,True,False,480,480,480,10,2
60,50,43,70,160,10,110,43,True,True,True,False,480,480,480,10,2
60,40,43,70,160,10,120,43,True,True,True,False,480,480,480,10,2
60,30,43,70,160,10,130,43,True,True,True,False,480,480,480,10,2
60,20,43,70,160,10,140,43,True,True,True,False,480,480,480,10,2
60,10,43,70,160,10,150,43,False,True,True,False,480,480,480,10,1
70,10,43,70,160,0,150,43,False,True,False,True,10,480,480,160,3
70,20,43,70,160,0,140,43,False,True,False,True,10,480,10,150,3
70,30,43,70,160,0,130,43,False,True,False,True,10,480,10,140,3
70,40,43,70,160,0,120,43,False,True,False,True,10,480,10,130,3
70,50,43,70,160,0,110,43,False,True,False,True,10,480,10,120,3
70,60,43,70,160,0,100,43,False,True,False,True,10,480,10,110,3
70,70,43,70,160,0,90,43,False,True,False,True,10,480,10,100,3
70,80,43,70,160,0,80,43,False,True,False,True,10,480,10,90,3
70,90,43,70,160,0,70,43,False,True,False,True,10,480,10,80,3
70,100,43,70,160,0,60,43,False,True,False,True,10,480,10,70,3
70,110,43,70,160,0,50,43,False,True,False,True,10,480,10,60,3
70,120,43,70,160,0,40,43,False,True,False,True,10,480,10,50,3
70,130,43,70,160,0,30,43,False,True,False,True,10,480,10,40,3
70,140,43,70,160,0,20,43,False,True,False,True,10,480,10,30,3
70,150,43,70,160,0,10,43,False,True,False,True,10,30,10,20,3
