@RELATION snake_game

@ATTRIBUTE snake_pos_x numeric
@ATTRIBUTE snake_pos_y numeric
@ATTRIBUTE snake_body_length numeric
@ATTRIBUTE food_pos_x numeric
@ATTRIBUTE food_pos_y numeric
@ATTRIBUTE horizontal_distance numeric
@ATTRIBUTE vertical_distance numeric
@ATTRIBUTE score numeric
@ATTRIBUTE left_safe numeric
@ATTRIBUTE right_safe numeric
@ATTRIBUTE up_safe numeric
@ATTRIBUTE down_safe numeric
@ATTRIBUTE left_distance numeric
@ATTRIBUTE right_distance numeric
@ATTRIBUTE up_distance numeric
@ATTRIBUTE down_distance numeric
@ATTRIBUTE food_in_row numeric
@ATTRIBUTE food_in_col numeric
@ATTRIBUTE food_in_up numeric
@ATTRIBUTE food_in_down numeric
@ATTRIBUTE food_in_left numeric
@ATTRIBUTE food_in_right numeric
@attribute New_direction {'0','1','2','3'}

@DATA
100,50,3,400,150,300,100,0,0,1,1,1,10,480,480,480,1,1,0,1,0,1,1
110,50,3,400,150,290,100,-1,0,1,1,1,10,480,480,480,1,1,0,1,0,1,1
120,50,3,400,150,280,100,-2,0,1,1,1,10,480,480,480,1,1,0,1,0,1,1
130,50,3,400,150,270,100,-3,0,1,1,1,10,480,480,480,1,1,0,1,0,1,1
140,50,3,400,150,260,100,-4,0,1,1,1,10,480,480,480,1,1,0,1,0,1,1
150,50,3,400,150,250,100,-5,0,1,1,1,10,480,480,480,1,1,0,1,0,1,1
160,50,3,400,150,240,100,-6,0,1,1,1,10,480,480,480,1,1,0,1,0,1,1
170,50,3,400,150,230,100,-7,0,1,1,1,10,480,480,480,1,1,0,1,0,1,1
180,50,3,400,150,220,100,-8,0,1,1,1,10,480,480,480,1,1,0,1,0,1,1
190,50,3,400,150,210,100,-9,0,1,1,1,10,480,480,480,1,1,0,1,0,1,1
200,50,3,400,150,200,100,-10,0,1,1,1,10,480,480,480,1,1,0,1,0,1,1
210,50,3,400,150,190,100,-11,0,1,1,1,10,480,480,480,1,1,0,1,0,1,1
